FILIAL,NOME DO REBOCADOR,MOTIVO INDISPONIBILIDADE,,OBSERVAÇÃO DO MOTIVO,CONSEQUÊNCIAS,DATA/HORA INÍCIO,DATA/HORA FIM,CUSTO AFRETAMENTO,ref mês:
RGD,Abaís I,REPARO,,MANUTENÇÃO CORRETIVA - AQUECIMENTO DO CARTER,AFRETAMENTO,10/01/2015 07:00:00,10/01/2015 10:00:00,,
RGD,Abaís I,REPARO,,MANUTENÇÃO CORRETIVA - AQUECIMENTO DO CARTER,AFRETAMENTO,10/01/2015 14:00:00,10/01/2015 21:00:00,,
RGD,S/N David,REPARO,,OVERHAUL SN DAVID ( DO DIA 05/02 Até 21/02),AFRETAMENTO,05/01/2015 00:00:00,21/01/2015 00:00:00,,jan
RGD,S/N David,REPARO,,MANUTENÇÃO CORRETIVA - CORREIA (23/01/2015 22:00 - 24/01/2015 02:00,NÃO HOUVE IMPACTO EM MANOBRA,23/01/2015 22:00:00,23/01/2015 22:00:00,,jan
RGD,S/N David,REPARO,,MANUTENÇÃO CORRETIVA - GERADOR,AFRETAMENTO,28/01/2015 07:00:00,28/01/2015 17:00:00,,
SDR,Caburaí,ABASTECIMENTO,,AQUISIÇÃO DE COMBUSTIVEL,NÃO HOUVE IMPACTO EM MANOBRA,20/01/2015 00:00:00,20/01/2015 00:00:00,,
SDR,S/N Pirambu,ABASTECIMENTO,,AQUISIÇÃO DE COMBUSTIVEL,NÃO HOUVE IMPACTO EM MANOBRA,14/01/2015 00:00:00,14/01/2015 00:00:00,,
SDR,S/N Pirambu,REPARO,,SUBSTITUIÇÃO DA MANGUEIRA DO GUINCHO NO CAMAROTE DOS MARINHEIROS,NÃO HOUVE IMPACTO EM MANOBRA,28/01/2015 00:00:00,28/01/2015 00:00:00,,
SDR,Carajás,ABASTECIMENTO,,AQUISIÇÃO DE COMBUSTIVEL,NÃO HOUVE IMPACTO EM MANOBRA,19/01/2015 00:00:00,19/01/2015 00:00:00,,
SDR,Carajás,ABASTECIMENTO,,RECEBIMENTO DE COMBUSTIVEL - TRANSFERENCIA,NÃO HOUVE IMPACTO EM MANOBRA,19/01/2015 00:00:00,19/01/2015 00:00:00,,
SDR,Carajás,REPARO,,TROCA 200L DE ÓLEO MEROPA 150 NO SCHOTTEL BB,NÃO HOUVE IMPACTO EM MANOBRA,20/01/2015 00:00:00,20/01/2015 00:00:00,,
SDR,Carajás,REPARO,,RETIRADO MAU CONTATO E REALIZADO LIMPEZA NO PRESSOSTATO DE ACOPLA / DESACOPLA SCHOTTEL BE,NÃO HOUVE IMPACTO EM MANOBRA,23/01/2015 00:00:00,23/01/2015 00:00:00,,
SDR,Pituba,REPARO,,SUBSTITUIDO LÂMPADA DE EXITAÇÃO QUEIMADA DO ALTERNADOR TUNGA 24VCC,NÃO HOUVE IMPACTO EM MANOBRA,19/01/2015 00:00:00,19/01/2015 00:00:00,,
STR,SN Maraú,REPARO,PREVENTIVO,LIMPEZA NO RESFRIADOR DE OLEO HIDRAULICO E LUBRIFICANTE DO HRP BB,NÃO HOUVE IMPACTO EM MANOBRA,10/01/2015 00:00:00,10/01/2015 00:00:00,,
STR,SN Maraú,REPARO,CORRETIVO,INSTALAÇÃO DAS PELICULAS DAS VIGIAS DO PASSADIÇO,NÃO HOUVE IMPACTO EM MANOBRA,26/01/2015 00:00:00,26/01/2015 00:00:00,,
STR,SN Jatobá,REPARO,PREVENTIVO,MANUTENÇÃO PREVENTIVA NO RESFRIADOR DO MCP,NÃO HOUVE IMPACTO EM MANOBRA,08/01/2015 00:00:00,08/01/2015 00:00:00,,
STR,SN Jatobá,REPARO,CORRETIVO,VIBRAÇÃO ANORMAL E HELICE TRAVADA,NÃO HOUVE IMPACTO EM MANOBRA,23/01/2015 00:50:00,23/01/2015 09:00:00,,
STR,SN Jatobá,REPARO,CORRETIVO,MERGULHO PARA VERIFICAR PROPULSORES - VIBRAÇÃO E PARAFUSOS QUEBRADOS,NÃO HOUVE IMPACTO EM MANOBRA,23/01/2015 09:00:00,23/01/2015 12:00:00,,
STR,Sauípe,REPARO,CORRETIVO,MANUTENÇÃO NO GINCHO DE PROA,NÃO HOUVE IMPACTO EM MANOBRA,09/01/2015 09:00:00,09/01/2015 10:30:00,,
STR,Sauípe,REPARO,PREVENTIVO,TROCA DO ACOPLAMENTO DA BOMBA INJETORA DO MCP/BB,NÃO HOUVE IMPACTO EM MANOBRA,19/01/2015 00:00:00,19/01/2015 00:00:00,,
STR,Sauípe,REPARO,CORRETIVO,AJUSTE/TROCA DE BALROAS,AFRETAMENTO,20/01/2015 10:00:00,20/01/2015 16:20:00,,
STR,Sauípe,VISTORIA,PREVENTIVO,VISTORIA TERMINAL PETROBRAS,NÃO HOUVE IMPACTO EM MANOBRA,28/01/2015 00:00:00,28/01/2015 00:00:00,,
VIT,S/N Aragipe,REPARO,,Troca de óleo e filtro lubrificante e do filtro de óleo diesel do MCA de BB,NÃO HOUVE IMPACTO EM MANOBRA,06/01/2015 10:00:00,06/01/2015 11:00:00,,
VIT,S/N Aragipe,REPARO,,"Manutenção da bomba salgada nº1 do guinho ( abertura, substituição do selo, fechamento e teste de funcionamento)",NÃO HOUVE IMPACTO EM MANOBRA,06/01/2015 08:00:00,06/01/2015 11:00:00,,
VIT,S/N Aragipe,REPARO,,"Desmontagem da sapata de freio do guincho de proa, a bordo, e transportada para a oficina.",NÃO HOUVE IMPACTO EM MANOBRA,08/01/2015 08:00:00,08/01/2015 11:40:00,,
VIT,S/N Aragipe,REPARO,,"Desmontagem da tomada de força do SRP de BB ( técnico da Schottel ), desmontagem e substituição do Back stop, montagem e teste de funcionamento.",AFRETAMENTO,12/01/2015 13:00:00,14/01/2015 17:00:00,,
VIT,S/N Aragipe,REPARO,,Troca de duas baterias do MCP de BB.,NÃO HOUVE IMPACTO EM MANOBRA,15/01/2015 08:00:00,15/01/2015 09:40:00,,
VIT,S/N Aragipe,REPARO,,"Piano de válvula de óleo diesel, foi trocado 2 válvulas.",NÃO HOUVE IMPACTO EM MANOBRA,16/01/2015 13:00:00,16/01/2015 17:00:00,,
VIT,S/N Aragipe,INSPEÇÃO,,"Tanque de consumo de serviço BB, inspeção da trinca do tanque no qual o reparo será feito na docagem.",AFRETAMENTO,19/01/2015 08:00:00,19/01/2015 17:00:00,,
VIT,S/N Aragipe,REPARO,,"Piano de válvula de óleo diesel, foi trocado a 3 válvula borboleta de 2"".",NÃO HOUVE IMPACTO EM MANOBRA,20/01/2015 08:00:00,20/01/2015 12:00:00,,
VIT,S/N Aragipe,REPARO,,Desempeno do tambor do guinho de proa.,AFRETAMENTO,22/01/2015 08:00:00,22/01/2015 20:45:00,,
VIT,S/N Aragipe,REPARO,,Troca do conjunto de ar condicionado do camarote dos marinheiros,NÃO HOUVE IMPACTO EM MANOBRA,23/01/2015 08:00:00,23/01/2015 11:00:00,,
VIT,S/N Aragipe,REPARO,,Troca de óleo e filtro lubrificante e do filtro de óleo diesel do MCP de BE,NÃO HOUVE IMPACTO EM MANOBRA,23/01/2015 08:00:00,23/01/2015 11:00:00,,
VIT,S/N Aragipe,REPARO,,Montagem e teste do conjunto de freio do guincho de proa,AFRETAMENTO,23/01/2015 08:00:00,23/01/2015 16:00:00,,
VIT,S/N Aragipe,REPARO,,Retirada de óleo queimado do tanque de borra,NÃO HOUVE IMPACTO EM MANOBRA,28/01/2015 08:00:00,28/01/2015 10:00:00,,
VIT,S/N Aragipe,REPARO,,Troca de válvula do piston de baixa do compresso do guincho de proa.,NÃO HOUVE IMPACTO EM MANOBRA,28/01/2015 15:00:00,28/01/2015 17:00:00,,
VIT,SN Oiapoque,REPARO,,Substituição de 2 o'rings CAT 109-2332 da tubulação de óleo lubrificante do MCP de BE.,NÃO HOUVE IMPACTO EM MANOBRA,13/01/2015 08:00:00,13/01/2015 11:00:00,,
VIT,SN Oiapoque,REPARO,,Troca do óleo lubrificante e troca dos filtros de óleo lubrificante do MCP BE,NÃO HOUVE IMPACTO EM MANOBRA,26/01/2015 10:00:00,26/01/2015 12:00:00,,
VIT,SN Oiapoque,REPARO,,Troca do óleo lubrificante e troca dos filtros de óleo lubrificante do MCP BB,NÃO HOUVE IMPACTO EM MANOBRA,26/01/2015 08:00:00,26/01/2015 10:00:00,,
RJ1,Atalaia,ABASTECIMENTO,,PEGOU 9.000 LTS - AGUA,NÃO HOUVE IMPACTO EM MANOBRA,03/01/2015 00:00:00,03/01/2015 00:00:00,,
RJ1,Atalaia,ABASTECIMENTO,,PEGOU 9.000 LTS - AGUA,NÃO HOUVE IMPACTO EM MANOBRA,09/01/2015 00:00:00,09/01/2015 00:00:00,,
RJ1,S/N Araruama,ABASTECIMENTO,,PEGOU - 18.000 LTS - AGUA,NÃO HOUVE IMPACTO EM MANOBRA,09/01/2015 00:00:00,09/01/2015 00:00:00,,
RJ1,Mossoró,ABASTECIMENTO,,PEGOU - 9.000 LTS AGUA,NÃO HOUVE IMPACTO EM MANOBRA,12/01/2015 00:00:00,12/01/2015 00:00:00,,
RJ1,Mossoró,ABASTECIMENTO,,PEGOU - 9.000 LTS AGUA,NÃO HOUVE IMPACTO EM MANOBRA,19/01/2015 00:00:00,19/01/2015 00:00:00,,
SEP,S/N Guarapari,REPARO,,Problema eletrico MCP BB,AFRETAMENTO,02/01/2015 14:00:00,02/01/2015 16:00:00,,
SEP,S/N Guarapari,REPARO,,Problema eletrico MCP BB,AFRETAMENTO,03/01/2015 20:00:00,06/01/2015 13:00:00,,
MAC,Pirajá,REPARO,,JUNTA DA BASE DA TURBIDA DO MCP-BB,NÃO HOUVE IMPACTO EM MANOBRA,06/01/2015 00:00:00,06/01/2015 00:00:00,,
MAC,Pirajá,REPARO,,REGULADOR DE AR DO APITO,NÃO HOUVE IMPACTO EM MANOBRA,07/01/2015 00:00:00,07/01/2015 00:00:00,,
MAC,Pirajá,REPARO,,FIXAÇÃO TURBINA DO MCP-BB,NÃO HOUVE IMPACTO EM MANOBRA,09/01/2015 00:00:00,09/01/2015 00:00:00,,
MAC,Pirajá,INSPEÇÃO,,FLUIDO ARREFECIMENTO DO MCA-BE,NÃO HOUVE IMPACTO EM MANOBRA,15/01/2015 00:00:00,15/01/2015 00:00:00,,
MAC,Pirajá,REPARO,,VEDAÇÃO DO BICO INJETOR Nº 3 MCA-BE,NÃO HOUVE IMPACTO EM MANOBRA,16/01/2015 00:00:00,16/01/2015 00:00:00,,
MAC,Pirajá,REPARO,,REDE DE REFRIGERAÇÃO DO MCA-BE,NÃO HOUVE IMPACTO EM MANOBRA,20/01/2015 00:00:00,20/01/2015 00:00:00,,
MAC,Pirajá,INSPEÇÃO,,AR CONDICIONADO DO REFEITORIO,NÃO HOUVE IMPACTO EM MANOBRA,23/01/2015 00:00:00,23/01/2015 00:00:00,,
MAC,Pirajá,REPARO,,ILUMINAÇÃO DO BANHEIRO,NÃO HOUVE IMPACTO EM MANOBRA,26/01/2015 00:00:00,26/01/2015 00:00:00,,
PNG,SN Chuí,ABASTECIMENTO MGO,,,NÃO HOUVE IMPACTO EM MANOBRA,15/01/2015 15:30:00,15/01/2015 15:30:00,,
PNG,SN Chuí,ABASTECIMENTO A. POTÁVEL,,,NÃO HOUVE IMPACTO EM MANOBRA,20/01/2015 02:25:00,20/01/2015 02:25:00,,
PNG,S/N Jauá,ABASTECIMENTO MGO,,,NÃO HOUVE IMPACTO EM MANOBRA,15/01/2015 14:00:00,15/01/2015 14:00:00,,
PNG,S/N Jauá,ABASTECIMENTO A. POTÁVEL,,,NÃO HOUVE IMPACTO EM MANOBRA,19/01/2015 18:55:00,19/01/2015 18:55:00,,
RGD,Abaís I,REPARO,,MANUTENÇÃO,AFRETAMENTO,20/02/2015 12:25:00,20/02/2015 13:25:00,,
RGD,Abaís I,ABASTECIMENTO,,ABASTECIMENTO DE MGO,NÃO HOUVE IMPACTO EM MANOBRA,13/02/2015 11:00:00,13/02/2015 11:00:00,,
RGD,S/N David,REPARO,,MANUTENÇÃO DO MCA,AFRETAMENTO,06/02/2015 08:40:00,06/02/2015 09:40:00,,
RGD,S/N David,REPARO,,MANUTENÇÃO DO MCA,AFRETAMENTO,06/02/2015 09:30:00,06/02/2015 10:30:00,,
RGD,S/N David,REPARO,,MANUTENÇÃO DO MCA,AFRETAMENTO,09/02/2015 13:15:00,09/02/2015 14:15:00,,
RGD,S/N David,REPARO,,MANUTENÇÃO DO MCA,AFRETAMENTO,10/02/2015 14:15:00,10/02/2015 15:15:00,,
RGD,S/N David,REPARO,,MANUTENÇÃO DO MCA,AFRETAMENTO,10/02/2015 18:55:00,10/02/2015 19:55:00,,
RGD,S/N David,ABASTECIMENTO,,ABASTECIMENTO DE MGO,NÃO HOUVE IMPACTO EM MANOBRA,19/02/2015 10:00:00,19/02/2015 10:00:00,,
PNG,SN Chuí,ABASTECIMENTO A. POTÁVEL,,,NÃO HOUVE IMPACTO EM MANOBRA,04/02/2015 11:50:00,04/02/2015 11:50:00,,
PNG,SN Chuí,DOCAGEM,,,AFRETAMENTO,22/02/2015 07:30:00,28/02/2015 00:00:00,,
PNG,S/N Jauá,ABASTECIMENTO A. POTÁVEL,,RECEBIMENTO DE COMBUSTIVEL - TRANSFERENCIA,NÃO HOUVE IMPACTO EM MANOBRA,04/02/2015 11:50:00,04/02/2015 11:50:00,,
SDR,Caburaí,ABASTECIMENTO,,SUBSTITUIÇÃO DO RELÉ TEMPORIZADO NO PAINEL COMPRESSOR BE,NÃO HOUVE IMPACTO EM MANOBRA,23/02/2015 00:00:00,23/02/2015 00:00:00,,
SDR,S/N Pirambu,REPARO,,INSTALAÇÃO DO RADAR FURUNO,NÃO HOUVE IMPACTO EM MANOBRA,05/02/2015 00:00:00,05/02/2015 00:00:00,,
SDR,Carajás,REPARO,,FORNECIMENTO DE COMBUSTIVEL - TRANSFERENCIA,NÃO HOUVE IMPACTO EM MANOBRA,02/02/2015 00:00:00,02/02/2015 00:00:00,,
SDR,Carajás,ABASTECIMENTO,,SUBSTITUIÇÃO DO CONTACTOR DE FORÇA NO PAINEL DO COMPRESSOR,NÃO HOUVE IMPACTO EM MANOBRA,23/02/2015 00:00:00,23/02/2015 00:00:00,,
SDR,Pituba,REPARO,,AJUSTE NA BOMBA INJETORA MCP BB,NÃO HOUVE IMPACTO EM MANOBRA,03/02/2015 00:00:00,03/02/2015 00:00:00,,
SDR,Pituba,REPARO,,AQUISIÇÃO DE COMBUSTIVEL,NÃO HOUVE IMPACTO EM MANOBRA,26/02/2015 00:00:00,26/02/2015 00:00:00,,
SDR,S/N Caeté,ABASTECIMENTO,,INSTALAÇÃO DA BOMBA HIDROFORA DE AGUA DOCE,NÃO HOUVE IMPACTO EM MANOBRA,21/02/2015 00:00:00,21/02/2015 00:00:00,,
SDR,Curitiba,REPARO,,,NÃO HOUVE IMPACTO EM MANOBRA,02/02/2015 00:00:00,02/02/2015 00:00:00,,
STR,SN Jatobá,REPARO,PREVENTIVO,AJUSTE DE VALVULAS,AFRETAMENTO,02/02/2015 13:00:00,02/02/2015 16:00:00,,
STR,SN Jatobá,REPARO,PREVENTIVO,MELHORIA / TROCA NAS BALROAS,AFRETAMENTO,13/02/2015 11:00:00,13/02/2015 15:40:00,,
STR,SN Jatobá,REPARO,CORRETIVO,REPARO NA TUBULAÇÃO QUE FUROU,NÃO HOUVE IMPACTO EM MANOBRA,19/02/2015 00:00:00,19/02/2015 00:00:00,,
STR,SN Jatobá,REPARO,CORRETIVO,REPARO NOS MANGOTES DA BOMBA HIDRAULICA,NÃO HOUVE IMPACTO EM MANOBRA,20/02/2015 00:00:00,20/02/2015 00:00:00,,
STR,SN Jatobá,REPARO,PREVENTIVO,TROCA DA VALVULA DO HRP,NÃO HOUVE IMPACTO EM MANOBRA,26/02/2015 00:00:00,26/02/2015 00:00:00,,
STR,Sauípe,REPARO,PREVENTIVO,LIMPEZA DA CAIXA MAR,NÃO HOUVE IMPACTO EM MANOBRA,20/02/2015 00:00:00,20/02/2015 00:00:00,,
STR,Sauípe,VISTORIA,,CERTIFICADORA ABS,NÃO HOUVE IMPACTO EM MANOBRA,24/02/2015 00:00:00,24/02/2015 00:00:00,,
VIT,S/N Aragipe,REPARO,,Troca da bateria do MCp de BE por uma nova,NÃO HOUVE IMPACTO EM MANOBRA,09/02/2015 13:00:00,09/02/2015 14:30:00,,
VIT,S/N Aragipe,REPARO,,Troca do sensor de gazes de descarga do MCP de BE.,NÃO HOUVE IMPACTO EM MANOBRA,13/02/2015 13:00:00,13/02/2015 14:45:00,,
VIT,S/N Aragipe,REPARO,,Troca do cabo principal do guincho de proa.,NÃO HOUVE IMPACTO EM MANOBRA,18/02/2015 15:30:00,18/02/2015 17:00:00,,
VIT,S/N Aragipe,REPARO,,"Reparação do motor de partida do MCA de BB, trocado porta escova e manutenção na bobina e bucha.",NÃO HOUVE IMPACTO EM MANOBRA,20/02/2015 08:00:00,20/02/2015 12:00:00,,
VIT,S/N Aragipe,REPARO,,Troca do encoder e alinhamento nas manetes de navegação.,NÃO HOUVE IMPACTO EM MANOBRA,22/02/2015 13:00:00,22/02/2015 16:00:00,,
VIT,S/N Aragipe,REPARO,,Troca do óleo da planetária no SRP de BE.,NÃO HOUVE IMPACTO EM MANOBRA,22/02/2015 08:00:00,22/02/2015 17:00:00,,
VIT,S/N Aragipe,REPARO,,Troca de duas válvulas danificadas do piano de válvula por duas novas.,NÃO HOUVE IMPACTO EM MANOBRA,25/02/2015 13:00:00,25/02/2015 15:10:00,,
VIT,SN Oiapoque,REPARO,,Troca da maçaneta e puxador da porta de acesso ao passadiço,NÃO HOUVE IMPACTO EM MANOBRA,04/02/2015 15:00:00,04/02/2015 16:10:00,,
VIT,SN Oiapoque,REPARO,,Reparação do alternador do MCA de BE.,NÃO HOUVE IMPACTO EM MANOBRA,05/02/2015 08:00:00,05/02/2015 10:00:00,,
VIT,SN Oiapoque,REPARO,,Reparação do Ar condicionado do refeitorio.,NÃO HOUVE IMPACTO EM MANOBRA,09/02/2015 10:00:00,09/02/2015 12:00:00,,
VIT,SN Oiapoque,REPARO,,"Repação do alternado do MCA de BE - trocado as peças rolamento,escova e regulador de tensão.",NÃO HOUVE IMPACTO EM MANOBRA,11/02/2015 08:00:00,11/02/2015 11:30:00,,
RJ1,Atalaia,ABASTECIMENTO,,9.000,NÃO HOUVE IMPACTO EM MANOBRA,02/02/2015 00:00:00,02/02/2015 00:00:00,,
RJ1,Atalaia,ABASTECIMENTO,,9.000,NÃO HOUVE IMPACTO EM MANOBRA,10/02/2015 00:00:00,10/02/2015 00:00:00,,
RJ1,Atalaia,ABASTECIMENTO,,9.000,NÃO HOUVE IMPACTO EM MANOBRA,20/02/2015 00:00:00,20/02/2015 00:00:00,,
RJ1,Atalaia,ABASTECIMENTO,,9.000,NÃO HOUVE IMPACTO EM MANOBRA,25/02/2015 00:00:00,25/02/2015 00:00:00,,
RJ1,Atalaia,REPARO,,PROBLEMA NO LEME BB,NÃO HOUVE IMPACTO EM MANOBRA,25/02/2015 19:00:00,26/02/2015 23:00:00,,
RJ1,S/N Araruama,ABASTECIMENTO,,9.000 água potável,NÃO HOUVE IMPACTO EM MANOBRA,02/02/2015 00:00:00,02/02/2015 00:00:00,,
RJ1,S/N Araruama,ABASTECIMENTO,,9.000 água potável,NÃO HOUVE IMPACTO EM MANOBRA,05/02/2015 00:00:00,05/02/2015 00:00:00,,
RJ1,S/N Araruama,ABASTECIMENTO,,10.000 transferencia de óleo,NÃO HOUVE IMPACTO EM MANOBRA,05/02/2015 00:00:00,05/02/2015 00:00:00,,
RJ1,S/N Araruama,ABASTECIMENTO,,9.000 água potável,NÃO HOUVE IMPACTO EM MANOBRA,12/02/2015 00:00:00,12/02/2015 00:00:00,,
RJ1,S/N Araruama,ABASTECIMENTO,,9.000 água potável,NÃO HOUVE IMPACTO EM MANOBRA,20/02/2015 00:00:00,20/02/2015 00:00:00,,
RJ1,Mossoró,ABASTECIMENTO,,18.000 água potável,NÃO HOUVE IMPACTO EM MANOBRA,04/02/2015 00:00:00,04/02/2015 00:00:00,,
RJ1,Mossoró,ABASTECIMENTO,,10.000 de óleo diesel,NÃO HOUVE IMPACTO EM MANOBRA,04/02/2015 00:00:00,04/02/2015 00:00:00,,
RJ1,Mossoró,ABASTECIMENTO,,9.000 água potável,NÃO HOUVE IMPACTO EM MANOBRA,11/02/2015 00:00:00,11/02/2015 00:00:00,,
RJ1,Mossoró,ABASTECIMENTO,,9.000 água potável,NÃO HOUVE IMPACTO EM MANOBRA,25/02/2015 00:00:00,25/02/2015 00:00:00,,
